SC Optimal MAE NN: R,SC Optimal MAE NN: MAE,0,Time Optimal MAE NN: R,Time Optimal MAE NN: MAE,Time SC: 0;  Optimal MAE NN: R,Time SC: 1;  Optimal MAE NN: R,Time SC: 0;  Optimal MAE NN: MAE,Time SC: 1;  Optimal MAE NN: MAE,Time Increasing: 0;  Optimal MAE NN: R,Time Increasing: 1;  Optimal MAE NN: R,Time Increasing: 0;  Optimal MAE NN: MAE,Time Increasing: 1;  Optimal MAE NN: MAE,Day 1;  Optimal MAE NN: R,Day 2;  Optimal MAE NN: R,Day 3;  Optimal MAE NN: R,Day 1;  Optimal MAE NN: MAE,Day 2;  Optimal MAE NN: MAE,Day 3;  Optimal MAE NN: MAE
0.982460305,0.290021703,1,0.888770789,0.716240749,0.943163887,0.85082522,0.569965899,0.870016977,0.735542849,0.929691464,1.042410463,0.612296581,0.901733577,0.874041736,0.722917631,0.635355428,1.327832669,1.833554327
0.970277041,0.371835023,2,0.901915804,0.647982553,0.953075245,0.865351647,0.491111025,0.8128988,0.755645737,0.941376165,0.95124276,0.551339179,0.907358482,0.880098075,0.841651216,0.589043006,1.202755541,1.372868687
,,3,0.912419572,0.613279507,0.95656319,0.880890101,0.471521176,0.762307346,0.759468153,0.954744473,0.932134986,0.511666119,0.911572382,0.94531098,0.899200976,0.575626627,0.913819879,1.120438889
,,4,0.920241147,0.549941368,0.963386774,0.890682682,0.417543262,0.689129129,0.763595805,0.963535205,0.873376384,0.446868688,0.916554347,0.955888629,0.937574998,0.526793264,0.741889566,0.855854765
,,5,0.924054742,0.517961577,0.967569634,0.895074993,0.383442529,0.659378931,0.772552803,0.965400249,0.81489864,0.423333235,0.919781521,0.961886466,0.947440237,0.499060839,0.626531258,0.80714567
,,6,0.956280202,0.460929185,0.972038761,0.947311789,0.364614382,0.562183253,0.909813598,0.968742415,0.652847618,0.399768382,0.955473661,0.966149643,0.956631958,0.441848345,0.561791956,0.760022119
,,7,0.967499554,0.421217307,0.97405459,0.964090064,0.353088386,0.492839977,0.954127342,0.970911354,0.513355546,0.391854577,0.967356324,0.969710201,0.966141254,0.403177708,0.535779752,0.688276291
,,8,0.970776275,0.404760182,0.974399045,0.96880582,0.356022879,0.455996774,0.957569882,0.974253744,0.491496176,0.377119049,0.970430553,0.972731709,0.973000258,0.388025776,0.548019715,0.622235671
,,9,0.973666295,0.385584444,0.977350369,0.971355721,0.344121203,0.429173902,0.959647194,0.977497101,0.474599443,0.357216999,0.973347053,0.973813832,0.976165473,0.370438538,0.532219619,0.568527833
,,10,0.975837022,0.368708573,0.978065237,0.974352285,0.336331151,0.40274635,0.960795894,0.980003312,0.476894617,0.334231704,0.975609809,0.976671204,0.977900609,0.353756592,0.512805954,0.549849987
,,11,0.978021771,0.349763222,0.979008779,0.977513969,0.326226123,0.374507345,0.963289499,0.982144192,0.465601467,0.312847733,0.977839977,0.980058953,0.979297534,0.336403914,0.474731728,0.514702715
,,12,0.980137646,0.330461152,0.981395066,0.979486257,0.307354063,0.354753256,0.966503397,0.983976334,0.446842581,0.293372586,0.979908451,0.982934207,0.981313437,0.318798587,0.441773668,0.472638629
,,13,0.981741369,0.319092207,0.983191267,0.98100692,0.294746891,0.344686031,0.969532132,0.985234216,0.428390175,0.284260988,0.981448263,0.983756289,0.982414365,0.308564946,0.42877166,0.439899802
,,14,0.983584508,0.304756254,0.985467479,0.982512206,0.276692424,0.334259272,0.972831905,0.986667216,0.398465194,0.274892975,0.983268157,0.984623134,0.98431012,0.295113035,0.412227817,0.409689575
,,15,0.985090896,0.291628662,0.987655044,0.983564794,0.259372868,0.325538561,0.975026891,0.987954631,0.371041037,0.266321421,0.984840989,0.985567451,0.984862253,0.28242062,0.394056216,0.391984977
,,16,0.98609972,0.282088052,0.989287242,0.984198257,0.248353444,0.317552626,0.976231962,0.988896832,0.360972278,0.256949104,0.985884905,0.986273542,0.985604987,0.273248132,0.380399562,0.378449306
,,17,0.986767277,0.27608975,0.98994635,0.984889075,0.24325994,0.310603142,0.977001622,0.989529833,0.356970824,0.250314459,0.986546695,0.987077609,0.986464128,0.267399352,0.377233438,0.367143519
,,18,0.987265497,0.271097142,0.990314871,0.985532284,0.238755926,0.305096872,0.977897033,0.989909336,0.350585692,0.245765634,0.987026751,0.98782745,0.987602592,0.262590375,0.377336502,0.354309216
,,19,0.987689748,0.264311098,0.990777493,0.986002237,0.229167461,0.301257007,0.978692219,0.990240216,0.340416476,0.24005774,0.987493098,0.9888338,0.98810941,0.255284369,0.376338474,0.353187665
,,20,0.987976536,0.259868462,0.991091922,0.986274213,0.221644305,0.300052822,0.979284987,0.990458488,0.334176958,0.23618773,0.987822965,0.989458472,0.988582924,0.250142083,0.374665082,0.360471584
,,21,0.988205105,0.258992132,0.99115631,0.986516118,0.221926324,0.297958784,0.979749769,0.990659982,0.335434593,0.234631352,0.987987861,0.990219504,0.989294499,0.250147663,0.358345248,0.35459289
,,22,0.988197878,0.260762483,0.990772665,0.986658618,0.227477834,0.29575406,0.979973748,0.990600199,0.335384622,0.236981805,0.987871826,0.99114804,0.989898741,0.253459565,0.340172835,0.341849148
,,23,0.988162547,0.261849642,0.990493223,0.986725315,0.230926111,0.294359006,0.980201364,0.990514696,0.331636116,0.239610005,0.98776485,0.991692021,0.99028945,0.255813111,0.3260637,0.33004149
,,24,0.988172486,0.262385704,0.990304425,0.986873642,0.233745303,0.292494893,0.980667263,0.990395829,0.324586317,0.242563557,0.98772034,0.99234806,0.990603089,0.257690039,0.306531474,0.320180267
,,25,0.988330141,0.261238597,0.990451664,0.987038851,0.2340253,0.289847441,0.981043413,0.990453288,0.319369607,0.24271334,0.98784399,0.992746249,0.991026536,0.257760342,0.28992936,0.307329684
,,26,0.988441154,0.260678269,0.990518227,0.987185717,0.234395854,0.288308553,0.981287211,0.990503013,0.317815185,0.242469829,0.987912521,0.993046701,0.991459474,0.257948902,0.283645269,0.29647468
,,27,0.988535017,0.260126512,0.990569293,0.987307668,0.23602863,0.285460196,0.981731936,0.990490675,0.312022097,0.243588351,0.987996712,0.993507743,0.991261393,0.2576879,0.273849677,0.29767102
,,28,0.988608882,0.259835307,0.990601763,0.987432629,0.237717539,0.283087268,0.981844336,0.990547314,0.311313331,0.243430186,0.988042906,0.993457466,0.991701007,0.257858798,0.270046223,0.291010521
,,29,0.988635689,0.259244051,0.990411788,0.987620965,0.239443123,0.280060425,0.981997594,0.990531847,0.310500793,0.242909491,0.98804073,0.993647203,0.9921664,0.257700395,0.26730027,0.283525646
,,30,0.988726631,0.258404508,0.990508363,0.987715587,0.240663886,0.277054902,0.98206529,0.990623742,0.311840527,0.24137545,0.988097012,0.99378407,0.992834926,0.257508248,0.262709707,0.272807252
,,31,0.98887451,0.256476678,0.990603566,0.987937286,0.241158299,0.272580586,0.982052788,0.990819588,0.314748235,0.237906609,0.988233477,0.993978977,0.993125707,0.255676806,0.254527457,0.274068605
,,32,0.988764375,0.25806253,0.990351573,0.98798421,0.245669603,0.271091007,0.981945559,0.990700796,0.319825508,0.238379825,0.988097891,0.994518608,0.993042707,0.257490452,0.238793556,0.2852697
,,33,0.988807142,0.258627322,0.990299478,0.988142028,0.248886768,0.268867366,0.981936619,0.990749314,0.323611677,0.237918008,0.988114417,0.994816631,0.993445516,0.25840126,0.229341991,0.287109204
,,34,0.988869965,0.259395629,0.990313545,0.988308117,0.252137307,0.26702619,0.982003555,0.990803018,0.327159107,0.237800669,0.988154054,0.995024219,0.993893385,0.259467762,0.223685451,0.28717057
,,35,0.988985673,0.258703522,0.990487352,0.988397896,0.251863066,0.265894771,0.981942087,0.990970418,0.330448546,0.235839747,0.988230363,0.995239869,0.99454695,0.259292696,0.218783438,0.27958193
,,36,0.988989666,0.259491,0.99052456,0.988424301,0.252548546,0.2667895,0.982100233,0.990919307,0.331063069,0.236682329,0.988190472,0.995803162,0.994852915,0.260437381,0.211989611,0.279428177
,,37,0.989047378,0.259771079,0.990599334,0.988471195,0.251316551,0.268659171,0.982065469,0.9910108,0.332483321,0.236599062,0.988206953,0.996208876,0.995413363,0.260543335,0.214958634,0.2809912
,,38,0.989072606,0.259993184,0.990560547,0.988514677,0.249183215,0.27135754,0.982327059,0.990970194,0.334601782,0.236216821,0.988200411,0.996528849,0.995822981,0.260468904,0.216433786,0.286118384
,,39,0.989057854,0.259797141,0.990473419,0.98858583,0.248089205,0.272105515,0.982473984,0.990918919,0.335604019,0.235638924,0.988149673,0.996809304,0.996471345,0.260333639,0.217340644,0.283804253
,,40,0.989003196,0.261495989,0.990374058,0.988576546,0.249054953,0.274575058,0.982436612,0.990877151,0.342389569,0.235716734,0.98807022,0.997033671,0.996841297,0.26193735,0.220419481,0.286277186
,,41,0.989146188,0.261246648,0.990770355,0.988537312,0.245324291,0.277985521,0.982713461,0.991013974,0.34288206,0.235230941,0.988232866,0.99720633,0.997097611,0.261305843,0.223464567,0.290975269
,,42,0.989148438,0.261546634,0.990819767,0.988485083,0.242950443,0.281096466,0.983028218,0.990955546,0.342882656,0.23562637,0.988227278,0.997352615,0.997574151,0.261479039,0.227844261,0.290473107
,,43,0.989170149,0.262346506,0.990854353,0.988489896,0.241556834,0.284202345,0.98330307,0.990934864,0.344999649,0.236006506,0.988280505,0.997406214,0.997697145,0.261462919,0.237117462,0.300660118
,,44,0.989204809,0.264210522,0.991151512,0.988374799,0.240957245,0.288656283,0.983452246,0.990982801,0.350761369,0.236628376,0.988348424,0.99742648,0.997775421,0.262708291,0.247906424,0.307594817
,,45,0.989141405,0.267030243,0.991088048,0.988369122,0.243807066,0.291444339,0.983873129,0.99082917,0.35563942,0.238792136,0.988305911,0.99741897,0.997949839,0.265396692,0.256039865,0.308693033
,,46,0.989055172,0.271494851,0.991080612,0.98834537,0.248563047,0.295602661,0.984137222,0.990718767,0.365811937,0.241437774,0.98826614,0.997383431,0.997885644,0.269528836,0.268836424,0.312990155
,,47,0.988831341,0.278233163,0.99095197,0.988215223,0.256878052,0.300683402,0.984038576,0.990577281,0.381106034,0.245449476,0.988078743,0.997258857,0.99782753,0.276005894,0.283428788,0.318528052
,,48,0.988584965,0.285157342,0.990755811,0.988092065,0.265977889,0.30532036,0.984078273,0.990385756,0.39392519,0.25049505,0.987884223,0.997201011,0.997548699,0.282519925,0.296441711,0.328672901
,,49,0.988171488,0.294106841,0.990280479,0.987904608,0.277893007,0.311152108,0.983830735,0.990120694,0.411624938,0.25665601,0.98752901,0.997044727,0.99722372,0.291044593,0.313400272,0.339566134
,,50,0.987505436,0.305985183,0.989567056,0.987496868,0.293379694,0.31923712,0.983145058,0.989723176,0.433301829,0.265411749,0.986927405,0.996870935,0.996682078,0.302737944,0.33122094,0.350282587
